
Source: https://www.genealogybranches.com/censuscosts.html
Census Year,Total Population,Census Cost,Average Cost Per Person
1790,3929214,44377,0.0113
1800,5308483,66109,0.0124
1810,7239881,178445,0.0246
1820,9633822,208526,0.0216
1830,12866020,378545,0.0294
1840,17069458,833371,0.0488
1850,23191876,1423351,0.0614
1860,31443321,1969377,0.0626
1870,38558371,3421198,0.0887
1880,50155783,5790678,0.1154
1890,62979766,11547127,0.1833
1900,76303387,11854000,0.1554
1910,91972266,15968000,0.1707
1920,105710620,25117000,0.2376
1930,122775046,40156000,0.3271
1940,131669275,67527000,0.5129
1950,151325798,91462000,0.6044
1960,179323175,127934000,0.7134
1970,203302031,247653000,1.22
1980,226542199,1078488000,4.76
1990,248718301,2492830000,10.02
2000,281421906,4500000000,15.99
2010,308745538,13000000000,42.11
