UNITID,ADM_RATE,TUITIONFEE_IN,MD_EARN_WNE_P10
100654,0.8738,9366,31000
100663,0.5814,8040,41200
100706,0.7628,9842,46700
100724,0.459,9220,27700
100751,0.5259,10470,44500
100830,0.7659,9640,33300
100858,0.8054,10696,48800
100937,0.4839,34448,46700
101073,0.2363,10320,20600
101189,0.4538,20130,35400
101365,0.9747,13390,37800
101435,0.5676,25800,39900
101480,0.5308,7500,35800
101541,0.5755,17376,26100
101587,0.531,8876,37400
101648,0.6431,9418,42700
101693,0.6193,21400,35200
101709,0.6542,12040,34200
101879,0.5574,8114,37800
101912,0.4837,16750,29700
102049,0.9138,29402,49900
102094,0.805,7548,37800
102234,0.4353,35794,45100
102270,0.4192,10418,28200
102368,0.9125,8260,37000
102377,0.4999,20015,35500
102553,0.8285,5784,45400
102614,0.7347,5976,38700
102632,0.4896,8415,36000
102669,0.5506,20310,40200
104151,0.825,10370,47700
104179,0.7862,11769,47300
104586,0.7634,33826,66200
104717,0.5694,17050,52700
105330,0.7804,10764,40100
105589,0.6847,28943,33200
105899,0.5916,23896,32200
106245,0.8983,8061,34900
106342,0.7417,26290,38600
106397,0.632,8820,44900
106412,0.4193,6898,27200
106458,0.704,8200,32200
106467,0.6391,6624,34100
106546,0.7826,9194,47200
106704,0.8978,8224,38300
106713,0.6195,15000,35300
107044,0.7018,18635,40900
107071,0.6611,8340,35700
107080,0.771,42440,39700
107141,0.7711,25324,45800
107512,0.6688,24940,41200
107558,0.8682,23750,33900
107585,0.7719,2996,27500
107877,0.6051,17320,33100
107983,0.6913,8196,35700
108852,0.7701,33190,32700
109651,0.6925,40596,53600
109785,0.6146,36120,51100
110097,0.6485,36696,44500
110361,0.6399,31372,42600
110370,0.6485,45466,37200
110404,0.0807,47577,85900
110413,0.6419,39793,54200
110422,0.2949,9075,66900
110468,0.7368,17312,59500
110486,0.6782,6857,47800
110495,0.7434,6728,45400
110510,0.5814,6610,44500
110529,0.5916,7067,54000
110538,0.6525,7040,48100
110547,0.4791,6423,44700
110556,0.5354,6313,44700
110565,0.4823,6560,47200
110574,0.6975,6564,51700
110583,0.3189,6460,48100
110592,0.637,6383,46100
110608,0.4824,6587,45400
110617,0.7194,6900,48900
110635,0.1693,13509,64700
110644,0.4228,14046,58200
110653,0.4065,13360,58400
110662,0.1799,12920,60700
110671,0.6634,13581,49700
110680,0.3566,13645,59900
110705,0.3577,14073,55300
110714,0.5785,13539,46900
111081,0.236,45646,37900
111188,0.682,6808,82900
111948,0.5403,48710,54500
111966,0.25,13444,81900
112075,0.6504,32780,46400
112084,0.533,29550,36700
112260,0.0944,50945,72900
112394,0.8256,19096,49800
112570,0.5419,21105,31400
113698,0.7775,43400,55600
114354,0.4145,31760,37200
114390,0.3632,31760,37200
114415,0.5399,31760,37200
114813,0.6848,29320,43900
115409,0.1287,52666,88800
115728,0.4846,37074,50800
115755,0.7709,7209,36600
117104,0.9732,14138,32700
117140,0.4806,39900,49200
117168,0.3919,28950,32900
117627,0.4593,31590,49500
117751,0.8318,31970,41700
117946,0.5387,44480,61300
118693,0.4087,39950,50900
118888,0.8441,45635,39900
119173,0.8592,37722,53200
119270,0.8047,24030,30100
119775,0.9908,26463,49400
120184,0.9668,33268,56400
120254,0.4581,51070,50600
120403,0.9295,44020,44900
120537,0.3211,30550,36000
120865,0.4655,28629,51700
120883,0.6599,44588,71700
121150,0.3687,50022,65500
121257,0.1374,50430,48700
121309,0.6942,33500,50900
121345,0.0944,49352,58100
121691,0.7475,46570,55000
122409,0.3464,7084,51000
122436,0.5138,46140,60000
122454,0.9261,43090,31900
122506,0.4175,43410,19700
122597,0.682,6484,49200
122612,0.7137,44494,62300
122728,0.7251,28700,37300
122755,0.5344,7418,56100
122931,0.483,47112,72600
123165,0.2988,50982,54100
123457,0.5215,25950,34500
123554,0.8039,44360,56300
123572,0.7627,7388,49200
123651,0.7024,31430,41800
123961,0.1662,52283,74000
124292,0.7461,24500,42100
124487,0.7857,9689,25100
125727,0.8276,42900,51400
125763,0.6945,44774,46800
125897,0.6624,37906,48200
126182,0.9857,9153,35200
126359,0.3196,11963,29600
126562,0.6052,9228,56400
126580,0.9286,8042,43900
126614,0.7662,11531,50800
126678,0.1599,50892,45400
126775,0.4035,17842,84900
126818,0.7796,11052,47100
127060,0.5347,46422,56500
127185,0.9212,8104,35200
127556,0.8275,7835,36800
127565,0.6387,6930,40200
127653,1,31170,20700
127741,0.9027,8888,42000
127918,0.5659,34450,56400
128106,0.9638,9519,37500
128391,0.9188,9193,39000
128744,0.5778,31630,43100
128771,0.6001,9741,47900
128902,0.3513,50940,54900
129020,0.488,14066,58400
129215,0.5791,10500,46400
129242,0.6147,46000,72100
129525,0.7193,37790,47800
129774,0.8756,31780,32000
129941,0.8053,37060,52100
130183,0.4071,16510,40900
130226,0.7644,43940,63300
130253,0.5721,38300,56000
130314,0.876,36870,52800
130448,0.7049,14870,58100
130493,0.6352,10054,45300
130590,0.3395,52760,66100
130697,0.1785,50912,54700
130776,0.6683,10017,45200
130794,0.0632,49480,83200
130934,0.4065,7532,35800
130943,0.695,12830,57000
130989,0.5808,23400,44500
131098,0.6047,25646,42900
131159,0.2591,44853,61000
131283,0.7955,42536,56800
131450,0.6614,16078,31000
131469,0.4021,51950,69600
131496,0.1685,50547,93500
131520,0.3,24908,49200
131876,0.8855,23250,38800
132408,0.5868,10800,31800
132471,0.6159,28800,45800
132657,0.8173,36650,39300
132842,0.3953,12384,30200
132879,0.6164,14270,29800
132903,0.4999,6368,45400
133492,0.7213,41538,42200
133526,0.577,13525,25900
133553,0.7072,33886,66200
133650,0.3111,5785,37600
133669,0.5978,4831,43200
133711,0.5505,17500,38900
133809,0.7852,16550,39100
133872,0.7629,13480,56000
133881,0.6133,40446,56600
133951,0.5007,6556,46300
133979,0.2496,15536,27600
134079,0.4554,33150,41400
134097,0.5801,6507,46400
134130,0.4594,6381,56000
134422,1,11085,21600
134945,0.8083,33930,50500
135364,0.7647,6800,44800
135726,0.3771,47004,60100
136172,0.6453,6394,43200
136215,0.5254,28736,45300
136330,0.9337,28520,40600
136774,0.7814,43040,33200
136950,0.6062,46520,45700
137032,0.6974,21440,43800
137351,0.4663,6410,43500
137476,0.5413,28800,49400
137546,0.656,43240,43200
137564,0.4585,24160,34800
137847,0.483,27740,48600
137953,0.6476,11040,33600
137962,0.7067,15690,29200
138275,0.4359,20712,38600
138293,0.4972,25358,37200
138354,0.4083,6360,38900
138558,0.6561,3453,32900
138600,0.6469,38472,39400
138716,0.4967,5490,32200
138761,1,15770,29000
138789,0.8038,5360,39900
138868,0.5144,19200,32500
138947,0.7184,22396,35500
139144,0.6209,33556,40000
139199,0.3565,27152,42000
139214,0.7895,12900,29200
139250,0.9521,3821,28300
139311,0.4092,5340,38800
139366,0.5316,6031,35900
139393,0.9624,32230,41200
139630,0.4055,19330,33600
139658,0.2529,47954,66000
139719,0.2645,5594,30900
139755,0.2577,12212,79100
139764,0.6818,5262,36400
139861,0.8452,9202,40500
139931,0.6455,6273,41900
139940,0.5884,8974,43300
139959,0.539,11634,50500
139968,0.5433,3974,31200
140234,0.5772,28490,39600
140252,0.9214,11220,35600
140340,0.9606,13830,37800
140447,0.6935,35130,48200
140553,0.6607,26742,41800
140696,0.804,35280,42100
140720,0.2458,14224,28200
140818,0.5715,23112,40600
140872,0.8745,21644,36600
140951,0.7171,35690,36400
140960,0.5078,5644,31300
140988,0.6115,21730,43200
141060,0.3573,27314,47000
141167,0.4736,16940,34300
141185,0.5414,21414,29500
141237,0.9061,18510,32600
141264,0.6513,6297,38700
141325,0.3765,21750,29900
141334,0.5909,6143,38200
141361,0.5504,29012,37900
141486,0.9133,23310,38400
141565,0.691,7650,37900
141574,0.8498,11732,45800
141644,0.7537,23440,49900
141981,0.6806,7440,38600
142090,0.9,11750,29400
142115,0.8173,7080,37100
142285,0.7589,7232,41900
142294,0.8482,27425,40000
142328,0.9715,6120,34600
142461,0.9528,28650,39600
142522,0.9583,3920,42700
143048,0.5932,45750,33500
143084,0.5162,39621,52000
143118,0.8772,22830,42700
143288,0.5385,21162,37400
143358,0.6981,32120,53600
144005,0.5788,10252,33800
144050,0.0794,53649,68100
144281,0.8806,25334,34400
144351,0.6892,30630,39700
144740,0.6975,37626,53300
144892,0.4688,11580,42200
144962,0.7189,35500,48300
144971,0.6453,21120,36000
145239,0.7457,15120,33500
145336,0.413,10516,40800
145372,0.5782,25720,36800
145497,0.915,16860,21100
145600,0.7359,13664,54300
145637,0.6007,15058,61500
145646,0.5821,44142,59100
145691,0.5403,31610,42800
145725,0.571,45214,69100
145813,0.8888,14061,47100
146339,0.7485,28730,42800
146393,0.8377,19828,39300
146427,0.6521,43285,39700
146481,0.5694,44116,50900
146612,0.5919,30050,48800
146667,0.5288,13020,30900
146676,0.6202,17700,30900
146719,0.7257,42032,54100
146825,0.562,25110,36200
147013,0.6816,28740,45800
147165,0.75,16230,25600
147244,0.638,31824,42900
147341,0.5206,35300,41500
147536,0.7638,10380,44600
147660,0.5936,36654,47800
147679,0.9418,27210,43700
147703,0.5184,14204,45500
147749,0.5551,17730,29600
147767,0.1066,50855,69000
147776,0.7101,10138,37900
147828,0.777,33940,40400
148131,0.6623,27128,39500
148335,0.2313,25800,32300
148405,0.5443,29180,45200
148487,0.7329,28119,43600
148496,0.6373,31570,47100
148584,0.4923,30840,53100
148627,0.7525,32250,48200
148654,0.653,11413,44600
149028,1,24314,60600
149222,0.7665,13481,42900
149231,0.893,11008,43000
149505,0.7002,27675,42200
149514,0.5978,30130,41100
149772,0.5945,12655,43200
149781,0.7865,34050,48400
150066,0.6642,28650,37200
150136,0.6225,9654,41100
150145,0.9777,27390,37800
150163,0.7271,38360,56600
150400,0.6533,46448,54000
150455,0.5763,45300,35000
