,Year,Country Code,Country Name,Region,Income Group,Lending Type,Military Expenditure ($Millions),Military Expenditure (% of GDP),GDP ($Billions),GDP PPP ($Billions),GDP Per Capita ($),GDP Per Capita PPP ($),Suicide Mortality Rate (Per 100K People),Life Expectancy at Birth (Years),Population (Millions),Group
0,2000,ABW,Aruba,Latin America & Caribbean ,High income,Not classified,,,1.87345251396648,2.73989810335839,21026.1670909022,30750.4753409995,,73.569,0.089101,REST OF WORLD
1,2000,AFG,Afghanistan,South Asia,Low income,IDA,,,3.52141805992345,16.377032684731102,180.188369406647,838.000704535831,4.9,55.298,19.542982,REST OF WORLD
2,2000,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,583.621333598924,6.39260315427404,9.12959497015301,53.876764896358495,556.884252978488,3286.35849348127,8.7,46.024,16.394062,REST OF WORLD
3,2000,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,45.3625033922719,1.24636024189216,3.4803552580412203,11.927686423049801,1126.68334010717,3861.30856837761,4.9,75.404,3.089027,REST OF WORLD
4,2000,AND,Andorra,Europe & Central Asia,High income,Not classified,,,1.43260618869324,2.1976964915571098,21674.299721519,33249.5649054739,,,0.066097,REST OF WORLD
5,2000,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,5875.833900612661,8.3237222448449,104.337372362151,319.024983518164,31855.5006047175,97402.3049009562,8.6,74.38,3.275333,REST OF WORLD
6,2000,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,3266.63331665833,1.14882267666887,284.20375,427.960175929515,7666.51783423783,11544.408971054,9.1,73.926,37.070774,REST OF WORLD
7,2000,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,68.05214206544261,3.56002487253697,1.91156366885006,8.15177932631557,603.298025247115,2572.73793698691,3.4,70.624,3.168523,REST OF WORLD
8,2000,ASM,American Samoa,East Asia & Pacific,High income,Not classified,,,,,,,,,0.05823,REST OF WORLD
9,2000,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD,,,0.900551851851852,1.44044475398455,11998.559081365,19191.8560253754,1.9,74.606,0.075055,REST OF WORLD
10,2000,AUS,Australia,East Asia & Pacific,High income,Not classified,7273.7603126105205,1.82984191251005,416.16781509290803,505.05609414060103,21870.4159669594,26541.6653208437,12.7,79.2341463414634,19.028802,REST OF WORLD
11,2000,AUT,Austria,Europe & Central Asia,High income,Not classified,1925.55739819421,0.98031858008593,197.289625479906,235.377744475237,24625.6007227434,29379.7422969788,19.9,78.1268292682927,8.011566,REST OF WORLD
12,2000,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,119.57565171524,2.26786206311863,5.2726157229689194,27.221033931459203,655.097249579917,3382.08308668081,3.1,64.891,8.0486,REST OF WORLD
13,2000,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,42.3215522157761,4.86240221311558,0.870486065883137,3.35877514909137,138.004617225366,532.491554963794,11.7,47.514,6.307659,REST OF WORLD
14,2000,BEL,Belgium,Europe & Central Asia,High income,Not classified,3190.80523309379,1.34121027642881,236.792460312471,284.862666666667,23098.8865077401,27788.0908832256,22,77.7219512195122,10.25125,REST OF WORLD
15,2000,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,14.4962751553423,0.412852302408383,3.5199914404791297,12.069905284889499,502.997981069672,1724.75930486217,8.8,56.578,6.998023,REST OF WORLD
16,2000,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,36.6585390518782,1.23804638062972,2.96837008759759,10.690983443738,249.802075690488,899.695717382678,8.6,50.847,11.882888,REST OF WORLD
17,2000,BGD,Bangladesh,South Asia,Lower middle income,IDA,740.798160005685,1.3571191812402,53.369787318624496,203.418206731693,413.100185264402,1574.52564660474,6,65.779,129.193327,REST OF WORLD
18,2000,BGR,Bulgaria,Europe & Central Asia,High income,IBRD,351.34320485286895,2.65245576158903,13.2459902744581,52.4753752679307,1621.26210738992,6422.79933249027,18.2,71.6634146341463,8.170172,REST OF WORLD
19,2000,BHR,Bahrain,Middle East & North Africa,High income,Not classified,359.042553191489,3.96167096884853,9.06289893617021,28.006116571424098,12738.7741181575,39365.2842697284,6.6,75.496,0.711442,REST OF WORLD
20,2000,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,,,8.07647,8.37165138913093,24849.6064784902,25757.8177836368,2.3,72.041,0.325014,REST OF WORLD
21,2000,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,,,5.5677727688118805,17.250742784142,1332.21021661547,4127.61381175111,9,74.496,4.17935,REST OF WORLD
22,2000,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,140.32620473339,1.34698415075765,12.7367804551539,57.9064209810626,1276.28038121269,5802.47334124907,41.8,68.9121951219512,9.97961,REST OF WORLD
23,2000,BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,7.116125,0.637640601035117,1.1347567606207098,1.80927276723134,4720.16821801746,7525.90520715514,7.4,68.564,0.240406,REST OF WORLD
24,2000,BMU,Bermuda,North America,High income,Not classified,,,3.480219,3.33455605041649,56284.1686478094,53928.4209146652,,78.858,0.061833,REST OF WORLD
25,2000,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,173.245422524961,2.0629715134384,8.39785548476908,28.9094675421706,977.329417675872,3364.43906775397,6.9,62.346,8.592656,REST OF WORLD
26,2000,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,11344.0325349018,1.73072614713627,655.448231983527,1582.13393714226,3726.81166909716,8995.8518938603,4,69.737,175.87372,BRICS
27,2000,BRB,Barbados,Latin America & Caribbean ,High income,IBRD,,,3.0595,3.44949171926535,11560.2459031879,13033.8200737761,2.6,74.089,0.264657,REST OF WORLD
28,2000,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,244.20520197684402,4.06920549004446,6.00128210408228,22.1128375844703,17971.8922877592,66220.7722204031,1.9,74.08,0.333926,REST OF WORLD
29,2000,BTN,Bhutan,South Asia,Lower middle income,IDA,,,0.460733418399276,1.8242051553153,784.618402708544,3106.57937544221,4.8,62.01,0.587207,REST OF WORLD
