Year,Country,GDP per capita (current US$),"Life expectancy at birth, total (years)","Population, total",Country Code,Region,Income Group,Lending Type
2004,Afghanistan,221.830530720307,57.944,23553551.0,AFG,South Asia,Low income,IDA
2005,Afghanistan,254.115274305561,58.361,24411191.0,AFG,South Asia,Low income,IDA
2006,Afghanistan,274.015394322653,58.684,25442944.0,AFG,South Asia,Low income,IDA
2007,Afghanistan,376.318296441543,59.111,25903301.0,AFG,South Asia,Low income,IDA
2008,Afghanistan,382.533803815415,59.852,26427199.0,AFG,South Asia,Low income,IDA
2009,Afghanistan,453.387382075258,60.364,27385307.0,AFG,South Asia,Low income,IDA
2010,Afghanistan,562.499219444201,60.851,28189672.0,AFG,South Asia,Low income,IDA
2011,Afghanistan,608.738855868402,61.419,29249157.0,AFG,South Asia,Low income,IDA
2012,Afghanistan,653.417479124439,61.923,30466479.0,AFG,South Asia,Low income,IDA
2013,Afghanistan,638.733184780223,62.417,31541209.0,AFG,South Asia,Low income,IDA
2014,Afghanistan,626.512930450573,62.545,32716210.0,AFG,South Asia,Low income,IDA
2015,Afghanistan,566.881132665072,62.659,33753499.0,AFG,South Asia,Low income,IDA
2016,Afghanistan,523.053012101752,63.136,34636207.0,AFG,South Asia,Low income,IDA
2017,Afghanistan,526.140801271383,63.016,35643418.0,AFG,South Asia,Low income,IDA
2018,Afghanistan,492.090632280226,63.081,36686784.0,AFG,South Asia,Low income,IDA
2019,Afghanistan,497.741429257502,63.565,37769499.0,AFG,South Asia,Low income,IDA
2020,Afghanistan,512.055098228687,62.575,38972230.0,AFG,South Asia,Low income,IDA
2021,Afghanistan,355.777826392648,61.982,40099462.0,AFG,South Asia,Low income,IDA
2022,Afghanistan,,,41128771.0,AFG,South Asia,Low income,IDA
2004,Albania,2373.58129170055,76.376,3026939.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2005,Albania,2673.78781583529,76.621,3011487.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2006,Albania,2972.74362094736,76.816,2992547.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2007,Albania,3595.03829536404,77.549,2970017.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2008,Albania,4370.53971639449,77.653,2947314.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2009,Albania,4114.13403283023,77.781,2927519.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2010,Albania,4094.34968570481,77.936,2913021.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2011,Albania,4437.14116097061,78.092,2905195.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2012,Albania,4247.63134315945,78.064,2900401.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2013,Albania,4413.06338346821,78.123,2895092.0,ALB,Europe & Central Asia,Upper middle income,IBRD
2014,Albania,4578.63320812155,78.407,2889104.0,ALB,Europe & Central Asia,Upper middle income,IBRD
