Timestamp,1. My primary educational background,2. My primary job function,3. My level of computer programing knowledge,4. My level of Python progrmming knowledge,5. My level of Statistics knowledge,6. My Familarity with GitHub,7. My gender,8. My Birth Year,9. What do you enjoy doing in your leisure time?,10. What do you expect to get out of this course?,11. What is your long-term career goal?,12. Other courses taking this semester
2024/08/18 8:33:50 PM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Intermediate,I use GitHub occasionally,Male,2000,Use to do some personal projects ,Data analysis with proper visuals ,I want to become a developer ,"HIT 664 : HEALTH IT LAW AND ETHICS , HEALTH 723 : PUBLIC HEALTH INFORMATICS "
2024/08/18 8:33:54 PM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Intermediate,I use GitHub occasionally,Male,2002,Playing Cricket,"To get good knowledge about statistics , data visualization and able to do some Real time projects in this area which would help for my future job opportunities.",Try to start my own business.,HIT 664 - Health IT Law And Ethics  ; HIT 723 - Public Health Informatics.
2024/08/19 10:33:47 AM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Intermediate,I use GitHub regularly,Male,1997,Doing courses and leveling up my knowledge in the field of clouds and other domains,I would expect to learn statistics concepts with real-time scenarios and also to be perfect in any visualization tool that tells the perfect story.,My aim is to become a Data Engineer and  Data Analyst.,Deep Learning and LLM
2024/08/19 12:38:37 PM AST,"STEM (Science, Technology, Engineering, Math)",Technology/engineering-oriented,Intermediate,Intermediate,Intermediate,I use GitHub occasionally,Female,7/21/1999,Surfing google,"Get knowledge on statistics, perform data analysis using statistical measures, learn advanced level interactive visualization using power BI, Gain analytical thinking",Be well suited for Data Science position,This is my last semester and is the only course I have for this term
2024/08/22 3:05:13 AM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Beginner,I use GitHub regularly,Male,2000,I like to study movies,I want to be good enough in Python by the end of the course,I would like see myself solving daily problems around us using technology ,ENMG 659 Strategic Management and ENMG 668 Project and Systems Engineering Management
2024/08/22 10:34:10 AM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Intermediate,I use GitHub occasionally,Female,2001,"Reading Books, learning new skills","I expect to learn key statistical methods, perform data analysis in Python, and create clear visualizations of my findings.","My long-term career goal is to become an expert in data science, using advanced analytics, machine learning, and data visualization to drive decision-making in an organization. I aim to work on impactful projects that solve real-world problems and eventually grow into a leadership role in data strategy and innovation.","HIT 658 Health Informatics-1, HIT 750 Data Analytics"
2024/08/22 10:34:30 AM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Intermediate,I use GitHub occasionally,Male,2000,"Reading Books, Watching movies and staying active through outdoor activities.","I expect to learn the basics of statistics, how to analyze data using Python, and how to create visualizations to share the results.","My long-term career goal is to become a skilled data scientist, capable of leveraging data to solve complex problems and drive informed decision-making within an organization. I aim to work on innovative projects that involve advanced analytics, machine learning.","HIT 658 Health Informatics-1, HIT 750 Data Analytics"
2024/08/22 10:55:40 PM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Beginner,I use GitHub occasionally,Male,1999,Fictional books and video games.,Exploring new methods of analysis of data.,Data Scientist.,ENMG
2024/08/24 2:23:26 PM AST,"STEM (Science, Technology, Engineering, Math)",Business/service-oriented,Beginner,No exposure,Intermediate,I don't use GitHub,Female,1978,"Sports, reading articles on tech, science and medicine ",To learn pyton and proceed in data science,Continue in leadership positions in technology companies,Ethical And Legal Issues in Data Science | DATA 605;Leadership in data science 607
2024/08/25 1:04:16 PM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Expert,Expert,Intermediate,I use GitHub regularly,Male,2000,Explore new places.,I'm expecting to strengthen my knowledge base on performing statistical analysis and key visualization techniques for wide variety of data which are diverse and unique in nature.,My long-term career goal is to be a professional data analyst and help organizations to make data-driven decisions and create data-driven solutions.,"Intro to Healthcare Databases | HIT 751 , Healthcare Informatics-II | HIT 759"
2024/08/25 7:02:21 PM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Intermediate,I use GitHub occasionally,Female,1999,Refer to books,Gain the ability to analyse data effectively and present insights clearly through visualisation ,Become a data engineer,"Enmg 650, hit 723"
2024/08/26 3:50:40 PM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Intermediate,I use GitHub occasionally,Male,11/17/2000,Read Books and search for articles,python developer,To become a team leader,"HIT 664 HEALTH IT LAW AND ETHICS, HIT 723 PUBLIC HEALTH INFORMATICS"
2024/08/28 4:32:17 PM AST,"Social Science (History, Philosophy, Education, etc. )",Business/service-oriented,Beginner,Beginner,Beginner,I don't use GitHub,Female,1998,Crocheting,A better understanding of statistics and python. ,I want to find a career that gets to work with data more than I currently do. ,None
2024/08/28 5:20:32 PM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Intermediate,Intermediate,Intermediate,I use GitHub occasionally,Female,3/1/2001,I like read books ,Become a full expertise person in stats and visualization ,Become a data analyst,This is the only subject I am taking this semester 
2024/08/28 5:33:53 PM AST,"STEM (Science, Technology, Engineering, Math)",Full-time Student,Beginner,Beginner,Beginner,I don't use GitHub,Female,2001,"Reading books and listening music, playing  games",I want to learn programming hands on and expecting the practical knowledge on coding ,Be in an IT firm,Deep learning 
